,notes
431,"[[9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 3, 1], [12, 11, 9, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 2, 1]]"
432,"[[9, 5, 4, 3, 2, 1], [11, 9, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 2, 1], [12, 11, 10, 9, 5, 3, 2, 1]]"
433,"[[12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 3, 1], [11, 9, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 9, 8, 5, 3, 1]]"
434,"[[10, 9, 8, 7, 5, 4, 3, 1], [10, 9, 8, 5, 3, 1], [11, 10, 9, 8, 7, 5, 3, 1], [11, 10, 9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1]]"
435,"[[12, 11, 9, 5, 4, 3, 2, 1], [11, 9, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 9, 7, 5, 4, 3, 2, 1], [11, 9, 7, 5, 3, 2, 1], [12, 11, 9, 8, 7, 5, 3, 2, 1]]"
436,"[[9, 7, 5, 3, 1], [9, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 2, 1], [9, 7, 5, 3, 2, 1], [12, 9, 8, 7, 5, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 3, 2, 1, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1]]"
437,"[[12, 11, 9, 8, 5, 3, 1], [12, 11, 9, 8, 7, 5, 3, 2, 1], [12, 11, 10, 9, 8, 7, 5, 3, 2, 1], [11, 10, 9, 8, 7, 5, 3, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1]]"
438,"[[9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 3, 1], [12, 11, 9, 7, 5, 3, 2, 1], [12, 11, 9, 7, 5, 3, 1], [11, 9, 7, 5, 3, 1]]"
439,"[[9, 7, 5, 4, 3, 2, 1], [9, 7, 5, 3, 2, 1], [9, 7, 5, 3, 2, 1], [9, 5, 3, 2, 1], [9, 5, 4, 3, 2, 1], [11, 9, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1]]"
440,"[[9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1]]"
441,"[[9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [12, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1]]"
442,"[[11, 9, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [9, 5, 4, 3, 1], [9, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [9, 5, 4, 3, 1], [11, 9, 5, 4, 3, 1]]"
443,"[[11, 9, 7, 6, 5, 3, 2, 1], [11, 9, 8, 7, 5, 3, 2, 1], [11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [10, 9, 8, 7, 6, 5, 4, 1], [9, 8, 7, 6, 5, 4, 3, 1], [10, 9, 8, 7, 6, 5, 4, 3, 2, 1]]"
444,"[[9, 8, 7, 5, 4, 3, 2, 1], [10, 9, 8, 7, 5, 4, 3, 2, 1], [10, 9, 8, 7, 5, 4, 3, 1], [10, 9, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 3, 1]]"
445,"[[11, 9, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 7, 6, 5, 3, 1], [9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 1]]"
446,"[[11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 1], [12, 11, 9, 8, 7, 5, 1], [12, 11, 9, 8, 5, 1], [12, 11, 9, 5, 1], [12, 11, 9, 1], [12, 11, 9, 5, 1], [11, 9, 5, 1]]"
447,"[[11, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 7, 6, 5, 4, 3, 2, 1], [11, 9, 7, 5, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [10, 9, 8, 7, 5, 3, 1], [10, 9, 7, 5, 3, 1], [10, 9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1]]"
448,"[[12, 11, 9, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 1]]"
449,"[[12, 11, 9, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 8, 7, 6, 5, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1]]"
450,"[[9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1, 1], [10, 9, 8, 7, 5, 4, 3, 2, 1], [10, 9, 7, 5, 4, 3, 1], [10, 9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1]]"
451,"[[9, 7, 5, 4, 3, 1], [11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [10, 9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1]]"
452,"[[11, 9, 7, 6, 5, 3, 2, 1], [9, 7, 6, 5, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [10, 9, 7, 5, 4, 3, 2, 1, 1], [10, 9, 7, 6, 5, 3, 2, 1]]"
453,"[[9, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 5, 4, 3, 2, 1, 1], [12, 11, 9, 7, 5, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 3, 2, 1], [12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1]]"
454,"[[9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 2, 1], [12, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1]]"
455,"[[9, 8, 7, 5, 4, 3, 1], [11, 10, 9, 8, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1]]"
456,"[[11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1, 1], [9, 7, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 2, 1], [11, 9, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 5, 3, 1, 1], [9, 8, 7, 5, 1]]"
457,"[[11, 9, 7, 5, 3, 1], [11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 3, 2, 1], [11, 9, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 3, 2, 1]]"
458,"[[10, 9, 7, 5, 3, 1], [10, 9, 7, 5, 3, 1], [10, 9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 10, 9, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 1]]"
459,"[[9, 9, 8, 7, 5, 4, 3, 1], [9, 8, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 10, 9, 8, 7, 5, 5, 4, 3, 2, 1], [11, 10, 9, 7, 5, 4, 3, 2, 1], [11, 10, 9, 5, 4, 3, 1]]"
460,"[[12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1, 1], [12, 11, 9, 5, 3, 1], [12, 9, 5, 3, 1], [12, 11, 9, 5, 3, 1], [12, 11, 10, 9, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1]]"
461,"[[12, 11, 9, 7, 5, 1, 1], [12, 11, 9, 5, 1], [11, 9, 5, 1], [12, 11, 9, 5, 1], [12, 11, 9, 7, 5, 1], [12, 11, 9, 8, 7, 5, 3, 1], [11, 10, 9, 8, 7, 5, 3, 1], [11, 9, 7, 5, 3, 1]]"
462,"[[9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 1], [9, 8, 7, 6, 5, 3, 1]]"
463,"[[12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 3, 1, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1]]"
464,"[[9, 7, 5, 3, 1], [10, 9, 7, 5, 3, 1], [10, 9, 7, 6, 5, 3, 2, 1], [10, 9, 7, 5, 3, 2, 1], [9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 3, 2, 1]]"
465,"[[12, 9, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 10, 9, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 1], [12, 11, 11, 9, 7, 5, 1], [12, 11, 9, 8, 7, 5, 1]]"
466,"[[9, 5, 4, 3, 2, 1], [12, 11, 9, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 1], [11, 9, 7, 5, 3, 1], [11, 9, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1]]"
467,"[[12, 11, 9, 5, 4, 3, 2, 1], [12, 11, 5, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 3, 2, 1, 1], [9, 8, 7, 5, 3, 1]]"
468,"[[9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1]]"
469,"[[11, 9, 7, 5, 4, 3, 1], [11, 9, 5, 4, 3, 1], [11, 11, 9, 5, 3, 1, 1], [11, 9, 5, 1], [11, 10, 9, 5, 1], [10, 9, 5, 1], [11, 10, 9, 5, 1], [11, 10, 9, 7, 5, 1]]"
470,"[[11, 9, 8, 7, 5, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 4, 1], [9, 8, 7, 6, 5, 4, 3, 1], [10, 9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 10, 9, 8, 7, 5, 4, 3, 2, 1]]"
471,"[[11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 5, 4, 3, 1], [12, 11, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1, 1], [12, 11, 10, 9, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 1]]"
472,"[[9, 7, 6, 5, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [9, 5, 4, 3, 1], [9, 5, 4, 3, 3, 1], [9, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 3, 1]]"
473,"[[12, 11, 9, 8, 7, 5, 1], [12, 11, 9, 8, 7, 6, 5, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 3, 2, 1], [11, 10, 9, 8, 7, 6, 5, 3, 2, 1], [11, 10, 9, 7, 6, 5, 3, 2, 1]]"
474,"[[11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 3, 2, 1]]"
475,"[[11, 9, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 3, 2, 1], [12, 11, 9, 7, 5, 1]]"
476,"[[11, 9, 7, 5, 3, 2, 1], [11, 9, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 3, 1], [9, 7, 6, 5, 4, 3, 1], [11, 9, 7, 6, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1]]"
477,"[[11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 1], [12, 11, 9, 8, 7, 5, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [11, 10, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 3, 1], [11, 10, 9, 8, 7, 5, 3, 2, 1], [10, 9, 8, 5, 3, 2, 1]]"
478,"[[9, 7, 5, 4, 3, 1], [10, 9, 7, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [11, 9, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1]]"
479,"[[9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 3, 2, 1], [12, 11, 10, 9, 8, 7, 6, 5, 3, 2, 1], [11, 9, 8, 7, 6, 5, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1]]"
480,"[[9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 4, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 5, 4, 3, 1], [9, 5, 4, 3, 1]]"
481,"[[12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 5, 3, 1], [12, 11, 9, 7, 5, 3, 2, 1], [12, 11, 9, 7, 5, 1], [12, 11, 9, 7, 5, 5, 1], [12, 11, 9, 5, 1], [12, 11, 9, 5, 1], [12, 11, 9, 5, 1]]"
482,"[[12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1], [11, 9, 7, 6, 5, 4, 3, 1, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 1], [9, 7, 5, 1], [10, 9, 7, 5, 1]]"
483,"[[9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 5, 4, 3, 2, 1]]"
484,"[[12, 11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 3, 2, 1], [12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 10, 9, 7, 6, 5, 4, 3, 1], [12, 11, 10, 9, 7, 5, 4, 3, 1]]"
485,"[[9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 5, 3, 3, 1], [10, 9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [10, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1]]"
486,"[[12, 11, 9, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 2, 1], [11, 9, 5, 4, 3, 2, 1], [12, 11, 9, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 2, 1]]"
487,"[[9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 1], [12, 11, 9, 8, 7, 5, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1]]"
488,"[[12, 11, 9, 8, 7, 6, 5, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 3, 1], [11, 9, 7, 5, 3, 2, 1], [11, 9, 8, 7, 5, 3, 1], [11, 9, 7, 6, 5, 3, 1]]"
489,"[[12, 11, 9, 8, 7, 6, 5, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]]"
490,"[[9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 5, 3, 1], [9, 8, 7, 5, 3, 2, 1], [10, 9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 9, 7, 6, 5, 4, 3, 2, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [11, 10, 9, 8, 7, 5, 4, 3, 1]]"
491,"[[11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 3, 1], [11, 10, 9, 8, 7, 5, 3, 1]]"
492,"[[12, 11, 9, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 2, 1], [11, 9, 7, 5, 4, 3, 2, 1], [9, 7, 5, 3, 2, 1], [9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1]]"
493,"[[9, 8, 7, 5, 4, 3, 2, 1], [9, 7, 5, 3, 2, 1], [9, 7, 5, 3, 1], [9, 7, 5, 1], [9, 7, 5, 3, 1], [9, 7, 5, 3, 1], [9, 7, 6, 5, 3, 1], [9, 7, 5, 3, 1]]"
494,"[[12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 1], [12, 11, 10, 9, 7, 6, 5, 4, 3, 2, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 3, 2, 1], [11, 9, 8, 7, 6, 5, 4, 3, 2, 1]]"
495,"[[9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 3, 1], [12, 11, 9, 8, 7, 5, 1], [11, 10, 9, 8, 7, 5, 1], [12, 11, 10, 9, 7, 5, 1]]"
496,"[[9, 8, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 3, 1], [11, 9, 7, 5, 3, 1]]"
497,"[[11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 3, 1], [11, 9, 7, 6, 5, 3, 1], [11, 9, 7, 5, 3, 2, 1], [12, 11, 9, 5, 3, 2, 1], [12, 11, 9, 7, 5, 3, 2, 1], [12, 11, 9, 8, 7, 5, 3, 2, 1, 1]]"
498,"[[9, 8, 7, 6, 5, 5, 4, 3, 1, 1], [9, 8, 7, 5, 4, 3, 1], [10, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1]]"
499,"[[10, 9, 7, 5, 4, 3, 2, 1, 1], [12, 11, 10, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 1], [12, 11, 9, 8, 7, 5, 4, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 3, 1]]"
